"_index","agent.id","agent.ip","agent.name","data.app_proto","data.dest_ip","data.dest_port","data.event_type","data.flow.age","data.flow.alerted","data.flow.bytes_toclient","data.flow.bytes_toserver","data.flow.end","data.flow.pkts_toclient","data.flow.pkts_toserver","data.flow.reason","data.flow.start","data.flow.state","data.flow.wrong_thread","data.flow_id","data.http.hostname","data.http.http_method","data.http.http_user_agent","data.http.length","data.http.protocol","data.http.status","data.http.url","data.in_iface","data.proto","data.src_ip","data.src_port","data.ssh.server.proto_version","data.ssh.server.software_version","data.tcp.ack","data.tcp.cwr","data.tcp.ecn","data.tcp.fin","data.tcp.psh","data.tcp.rst","data.tcp.state","data.tcp.syn","data.tcp.tcp_flags","data.tcp.tcp_flags_tc","data.tcp.tcp_flags_ts","data.timestamp","data.tx_id","decoder.name",id,"input.type",location,"manager.name","rule.description","rule.firedtimes","rule.groups","rule.id","rule.level","rule.mail",timestamp
"wazuh-alerts-4.x-2022.11.22",018,"10.11.4.174","orgen-ot-machine-3","-","10.11.2.113",50505,flow,0,false,0,132,"2022-11-22T07:24:10.912445+0000",0,2,timeout,"2022-11-22T07:24:10.912445+0000",new,true,"1253039413062717.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.4.138",22,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 08:29:01.531","-",json,"1669102141.241955685",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,387","ids, suricata",86600,3,false,"Nov 22, 2022 @ 08:29:01.568"
"wazuh-alerts-4.x-2022.11.22",017,"10.11.4.138","orgen-ot-machine-2","-","10.11.4.138",22,flow,0,false,132,110,"2022-11-22T07:24:10.912102+0000",2,2,timeout,"2022-11-22T07:24:10.911833+0000",new,true,"154496300411353.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.2.113",50505,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 08:28:04.234","-",json,"1669102085.241442736",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,343","ids, suricata",86600,3,false,"Nov 22, 2022 @ 08:28:05.172"
"wazuh-alerts-4.x-2022.11.22",018,"10.11.4.174","orgen-ot-machine-3","-","10.11.2.113",50505,flow,0,false,0,132,"2022-11-22T05:24:10.884113+0000",0,2,timeout,"2022-11-22T05:24:10.884113+0000",new,true,"1253038941175185.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.4.138",22,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 06:29:01.129","-",json,"1669094941.177884035",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,379","ids, suricata",86600,3,false,"Nov 22, 2022 @ 06:29:01.316"
"wazuh-alerts-4.x-2022.11.22",017,"10.11.4.138","orgen-ot-machine-2","-","10.11.4.138",22,flow,0,false,132,110,"2022-11-22T05:24:10.882671+0000",2,2,timeout,"2022-11-22T05:24:10.882523+0000",new,true,"154495828522843.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.2.113",50505,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 06:28:04.225","-",json,"1669094885.177405403",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,338","ids, suricata",86600,3,false,"Nov 22, 2022 @ 06:28:05.296"
"wazuh-alerts-4.x-2022.11.22",018,"10.11.4.174","orgen-ot-machine-3","-","10.11.2.113",50505,flow,0,false,0,132,"2022-11-22T03:24:10.848758+0000",0,2,timeout,"2022-11-22T03:24:10.848758+0000",new,true,"1253038469346166.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.4.138",22,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 04:29:01.335","-",json,"1669087743.113292355",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,374","ids, suricata",86600,3,false,"Nov 22, 2022 @ 04:29:03.150"
"wazuh-alerts-4.x-2022.11.22",017,"10.11.4.138","orgen-ot-machine-2","-","10.11.4.138",22,flow,0,false,132,110,"2022-11-22T03:24:10.858525+0000",2,2,timeout,"2022-11-22T03:24:10.858370+0000",new,true,"154495356639490.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.2.113",50505,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 04:28:04.101","-",json,"1669087685.112806855",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,333","ids, suricata",86600,3,false,"Nov 22, 2022 @ 04:28:05.351"
"wazuh-alerts-4.x-2022.11.22",018,"10.11.4.174","orgen-ot-machine-3","-","10.11.2.113",50505,flow,0,false,0,132,"2022-11-22T01:24:10.810553+0000",0,2,timeout,"2022-11-22T01:24:10.810553+0000",new,true,"1253037997448761.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.4.138",22,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 02:29:01.581","-",json,"1669080542.48542455",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,394","ids, suricata",86600,3,false,"Nov 22, 2022 @ 02:29:02.928"
"wazuh-alerts-4.x-2022.11.22",017,"10.11.4.138","orgen-ot-machine-2","-","10.11.4.138",22,flow,0,false,132,110,"2022-11-22T01:24:10.810502+0000",2,2,timeout,"2022-11-22T01:24:10.810286+0000",new,true,"154494884797742.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.2.113",50505,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 02:28:04.484","-",json,"1669080485.48046139",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,347","ids, suricata",86600,3,false,"Nov 22, 2022 @ 02:28:05.591"
"wazuh-alerts-4.x-2022.11.21",018,"10.11.4.174","orgen-ot-machine-3","-","10.11.2.113",50505,flow,0,false,0,132,"2022-11-21T23:24:10.778265+0000",0,2,timeout,"2022-11-21T23:24:10.778265+0000",new,true,"1253037525622809.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.4.138",22,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 00:29:01.237","-",json,"1669073342.753569274",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,383","ids, suricata",86600,3,false,"Nov 22, 2022 @ 00:29:02.683"
"wazuh-alerts-4.x-2022.11.21",017,"10.11.4.138","orgen-ot-machine-2","-","10.11.4.138",22,flow,0,false,132,110,"2022-11-21T23:24:10.777141+0000",2,2,timeout,"2022-11-21T23:24:10.776986+0000",new,true,"154494412970778.000000","-","-","-","-","-","-","-",ens3,TCP,"10.11.2.113",50505,"-","-","-","-","-","-","-","-","-","-",00,00,00,"Nov 22, 2022 @ 00:28:04.211","-",json,"1669073285.753077225",log,"/var/log/suricata/eve.json","s2g-siem-server","Suricata messages.","1,341","ids, suricata",86600,3,false,"Nov 22, 2022 @ 00:28:05.717"
