_index,_type,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.win.eventdata.subjectLogonId,_source.data.win.eventdata.targetLinkedLogonId,_source.data.win.eventdata.impersonationLevel,_source.data.win.eventdata.ipAddress,_source.data.win.eventdata.authenticationPackageName,_source.data.win.eventdata.targetLogonId,_source.data.win.eventdata.logonProcessName,_source.data.win.eventdata.logonGuid,_source.data.win.eventdata.targetUserName,_source.data.win.eventdata.keyLength,_source.data.win.eventdata.elevatedToken,_source.data.win.eventdata.subjectUserSid,_source.data.win.eventdata.processId,_source.data.win.eventdata.ipPort,_source.data.win.eventdata.targetDomainName,_source.data.win.eventdata.targetUserSid,_source.data.win.eventdata.virtualAccount,_source.data.win.eventdata.logonType,_source.data.win.system.eventID,_source.data.win.system.keywords,_source.data.win.system.providerGuid,_source.data.win.system.level,_source.data.win.system.channel,_source.data.win.system.opcode,_source.data.win.system.message,_source.data.win.system.version,_source.data.win.system.systemTime,_source.data.win.system.eventRecordID,_source.data.win.system.threadID,_source.data.win.system.computer,_source.data.win.system.task,_source.data.win.system.processID,_source.data.win.system.severityValue,_source.data.win.system.providerName,_source.rule.mail,_source.rule.level,_source.rule.hipaa,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.decoder.name,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.win.eventdata.processName,_source.data.win.eventdata.subjectDomainName,_source.data.win.eventdata.objectServer,_source.data.win.eventdata.privilegeList,_source.data.win.eventdata.subjectUserName,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.decoder,_source.full_log,_source.data.win.eventdata.data,_source.data.win.eventdata.ticketOptions,_source.data.win.eventdata.serviceSid,_source.data.win.eventdata.serviceName,_source.data.win.eventdata.ticketEncryptionType,_source.data.win.eventdata.status,_source.data.win.eventdata.workstationName,_source.data.win.eventdata.errorDescription,_source.data.win.eventdata.processingTimeInMilliseconds,_source.data.win.eventdata.errorCode,_source.data.win.eventdata.supportInfo1,_source.data.win.eventdata.supportInfo2,_source.data.win.eventdata.processingMode,_source.data.win.eventdata.accessList,_source.data.win.eventdata.accessReason,_source.data.win.eventdata.restrictedSidCount,_source.data.win.eventdata.transactionId,_source.data.win.eventdata.objectType,_source.data.win.eventdata.objectName,_source.data.win.eventdata.accessMask,_source.data.win.eventdata.handleId,_source.data.win.eventdata.binary,_source.data.win.eventdata.accountDomain,_source.data.win.eventdata.logonID,_source.data.win.eventdata.accountName,_source.data.win.eventdata.clientName,_source.data.win.eventdata.sessionName,_source.data.win.eventdata.clientAddress,_source.data.win.system.eventSourceName,_source.data.win.eventdata.lmPackageName
wazuh-alerts-4.x-2023.05.09,_doc,UcXs_4cBy0XUe2K5YZHi,1,1,10.77.77.77,dc,003,ovelse-siem-server,0x0,0x0,%%1833,::1,Kerberos,0x3628e2a,Kerberos,{045aca5a-173e-0b68-1fe8-fe9e5969ef67},DC$,0,%%1842,S-1-0-0,0x0,60822,DC.DJIKSTRA.XRG,S-1-5-18,%%1843,3,4624,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		DC$
	Account Domain:		DC.DJIKSTRA.XRG
	Logon ID:		0x3628E2A
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{045aca5a-173e-0b68-1fe8-fe9e5969ef67}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	::1
	Source Port:		60822

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.""",2,2023-05-09T09:51:26.2500087Z,1161778,2272,dc.djikstra.xrg,12544,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows logon success.,"[""windows"",""windows_security"",""authentication_success""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",102,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",60106,"[""7.1"",""7.2""]",windows_eventchannel,log,"May 9, 2023 @ 09:51:32.275",EventChannel,1683625892.11792451,"May 9, 2023 @ 09:51:32.275", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,UsXs_4cBy0XUe2K5YZHi,1,1,10.77.77.77,dc,003,ovelse-siem-server, , , , , ,0x3628e2a, , ,DC$, , , , , ,DJIKSTRA,S-1-5-18, ,3,4634,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was logged off.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DC$
	Account Domain:		DJIKSTRA
	Logon ID:		0x3628E2A

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.""",0,2023-05-09T09:51:26.2552110Z,1161780,944,dc.djikstra.xrg,12545,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows User Logoff.,"[""windows"",""windows_security""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",103, , , ,60137, ,windows_eventchannel,log,"May 9, 2023 @ 09:51:32.305",EventChannel,1683625892.11799475,"May 9, 2023 @ 09:51:32.305", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,dMXt_4cBy0XUe2K5X5HW,1,1,10.77.77.77,dc,003,ovelse-siem-server,0x0,0x0,%%1833,::1,Kerberos,0x362ad28,Kerberos,{045aca5a-173e-0b68-1fe8-fe9e5969ef67},DC$,0,%%1842,S-1-0-0,0x0,60823,DC.DJIKSTRA.XRG,S-1-5-18,%%1843,3,4624,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was successfully logged on.

Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		DC$
	Account Domain:		DC.DJIKSTRA.XRG
	Logon ID:		0x362AD28
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{045aca5a-173e-0b68-1fe8-fe9e5969ef67}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	::1
	Source Port:		60823

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.""",2,2023-05-09T09:52:26.2647376Z,1161790,2272,dc.djikstra.xrg,12544,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows logon success.,"[""windows"",""windows_security"",""authentication_success""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",103,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",60106,"[""7.1"",""7.2""]",windows_eventchannel,log,"May 9, 2023 @ 09:52:32.404",EventChannel,1683625952.11801780,"May 9, 2023 @ 09:52:32.404", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,dcXt_4cBy0XUe2K5X5HW,1,1,10.77.77.77,dc,003,ovelse-siem-server, , , , , ,0x362ad28, , ,DC$, , , , , ,DJIKSTRA,S-1-5-18, ,3,4634,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was logged off.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DC$
	Account Domain:		DJIKSTRA
	Logon ID:		0x362AD28

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.""",0,2023-05-09T09:52:26.2698861Z,1161792,5332,dc.djikstra.xrg,12545,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows User Logoff.,"[""windows"",""windows_security""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",104, , , ,60137, ,windows_eventchannel,log,"May 9, 2023 @ 09:52:32.415",EventChannel,1683625952.11808804,"May 9, 2023 @ 09:52:32.415", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,ScXs_4cBy0XUe2K5AJEy,1,1,10.77.77.77,dc,003,ovelse-siem-server,0x3e5, , , , , , , , , , ,S-1-5-19,0x1bc4, , , , , ,4673,0x8010000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""A privileged service was called.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Service:
	Server:	Security
	Service Name:	-

Process:
	Process ID:	0x1bc4
	Process Name:	C:\Windows\System32\svchost.exe

Service Request Information:
	Privileges:		SeProfileSingleProcessPrivilege""",0,2023-05-09T09:51:00.0271102Z,1161773,8756,dc.djikstra.xrg,13056,4,AUDIT_FAILURE,Microsoft-Windows-Security-Auditing,false,4,"[""164.312.b""]","[""10.2.2""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Failed attempt to perform a privileged operation.,"[""windows"",""windows_security""]","[""AC.6"",""AU.14""]","[""IV_32.2""]",34,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",60107, ,windows_eventchannel,log,"May 9, 2023 @ 09:51:06.106",EventChannel,1683625866.11787063,"May 9, 2023 @ 09:51:06.106",C:\\Windows\\System32\\svchost.exe,NT AUTHORITY,Security,SeProfileSingleProcessPrivilege,LOCAL SERVICE, , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,SsXs_4cBy0XUe2K5AJEy,1,1,10.77.77.77,dc,003,ovelse-siem-server,0x3e5, , , , , , , , , , ,S-1-5-19,0x1bc4, , , , , ,4673,0x8010000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""A privileged service was called.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Service:
	Server:	Security
	Service Name:	-

Process:
	Process ID:	0x1bc4
	Process Name:	C:\Windows\System32\svchost.exe

Service Request Information:
	Privileges:		SeProfileSingleProcessPrivilege""",0,2023-05-09T09:51:00.0271245Z,1161774,8756,dc.djikstra.xrg,13056,4,AUDIT_FAILURE,Microsoft-Windows-Security-Auditing,false,4,"[""164.312.b""]","[""10.2.2""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Failed attempt to perform a privileged operation.,"[""windows"",""windows_security""]","[""AC.6"",""AU.14""]","[""IV_32.2""]",35,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",60107, ,windows_eventchannel,log,"May 9, 2023 @ 09:51:06.150",EventChannel,1683625866.11789757,"May 9, 2023 @ 09:51:06.150",C:\\Windows\\System32\\svchost.exe,NT AUTHORITY,Security,SeProfileSingleProcessPrivilege,LOCAL SERVICE, , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,w8Xw_4cBy0XUe2K5lZI-,1,1,10.77.77.77,dc,003,ovelse-siem-server, , , , , ,0x3630085, , ,TEST-AD-1-INTER$, , , , , ,DJIKSTRA,S-1-5-21-2082646183-1217588593-2819094730-1107, ,3,4634,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was logged off.

Subject:
	Security ID:		S-1-5-21-2082646183-1217588593-2819094730-1107
	Account Name:		TEST-AD-1-INTER$
	Account Domain:		DJIKSTRA
	Logon ID:		0x3630085

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.""",0,2023-05-09T09:55:57.3485696Z,1161849,5332,dc.djikstra.xrg,12545,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows User Logoff.,"[""windows"",""windows_security""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",111, , , ,60137, ,windows_eventchannel,log,"May 9, 2023 @ 09:56:03.436",EventChannel,1683626163.11870216,"May 9, 2023 @ 09:56:03.436", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,uMXw_4cBy0XUe2K5C5Kn,1,1,10.77.77.77,dc,003,ovelse-siem-server, , , , , ,0x362ff0c, , ,DC$, , , , , ,DJIKSTRA,S-1-5-18, ,3,4634,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was logged off.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DC$
	Account Domain:		DJIKSTRA
	Logon ID:		0x362FF0C

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.""",0,2023-05-09T09:55:26.3155426Z,1161841,5332,dc.djikstra.xrg,12545,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows User Logoff.,"[""windows"",""windows_security""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",110, , , ,60137, ,windows_eventchannel,log,"May 9, 2023 @ 09:55:32.246",EventChannel,1683626132.11867909,"May 9, 2023 @ 09:55:32.246", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,o8Xx_4cBy0XUe2K53ZNu,1,1,10.77.77.77,dc,003,ovelse-siem-server, , , , , ,0x3633384, , ,DC$, , , , , ,DJIKSTRA,S-1-5-18, ,3,4634,0x8020000000000000,{54849625-5478-4994-a5ba-3e3b0328c30d},0,Security,0,"""An account was logged off.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DC$
	Account Domain:		DJIKSTRA
	Logon ID:		0x3633384

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.""",0,2023-05-09T09:57:26.3577751Z,1161863,5332,dc.djikstra.xrg,12545,792,AUDIT_SUCCESS,Microsoft-Windows-Security-Auditing,false,3,"[""164.312.b""]","[""10.2.5""]","[""CC6.8"",""CC7.2"",""CC7.3""]",Windows User Logoff.,"[""windows"",""windows_security""]","[""AC.7"",""AU.14""]","[""IV_32.2""]",113, , , ,60137, ,windows_eventchannel,log,"May 9, 2023 @ 09:57:31.825",EventChannel,1683626251.11906298,"May 9, 2023 @ 09:57:31.825", , , , , , , , ,"{""name"":""windows_eventchannel""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.05.09,_doc,C8Xw_4cBy0XUe2K56pNw,1,1, ,ovelse-siem-server,000,ovelse-siem-server, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,false,2, , , ,Unknown problem somewhere in the system.,"[""syslog"",""errors""]", , ,19, , , ,1002,"[""4.3""]", ,log,"May 9, 2023 @ 09:56:29.895",/var/log/syslog,1683626189.11875026,"May 9, 2023 @ 09:56:29.895", , , , , ,ovelse-siem-server,opensearch-dashboards,May  9 09:56:28,{},"May  9 09:56:28 ovelse-siem-server opensearch-dashboards[5081]: {""type"":""error"",""@timestamp"":""2023-05-09T09:56:28Z"",""tags"":[""connection"",""client"",""error""],""pid"":5081,""level"":""error"",""error"":{""message"":""139734702114624:error:14094416:SSL routines:ssl3_read_bytes:sslv3 alert certificate unknown:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:1544:SSL alert number 46\n"",""name"":""Error"",""stack"":""Error: 139734702114624:error:14094416:SSL routines:ssl3_read_bytes:sslv3 alert certificate unknown:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:1544:SSL alert number 46\n""},""message"":""139734702114624:error:14094416:SSL routines:ssl3_read_bytes:sslv3 alert certificate unknown:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:1544:SSL alert number 46\n""}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
